member_contract_id	contract_statuses	e01_relation_class	e01_input_ids	exact_contract_present_in_e01	new_mandatory_operation_absent_from_e01	exact_reason	status
DENSE-VIEW-AS-FIXED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-CONSUME-SPLIT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-DISJOINT-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-END	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-END-CHUNK	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-END-SPLIT	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-GET-SHARED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-GET-UNIQ	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-META	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-SPLIT-CHECKED	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-VIEW-SPLIT-TRAP	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
DENSE-WITH-CAPACITY	REQUIRED_IN_LOCK	NEW_MANDATORY_EXACT_CONTRACT	E01-DISP-03,E01-DISP-09	NO	YES	At least one exact contract is admitted by the Family Lock. E0.1 contains no observably equal member/outcome contract, so historical lineage cannot remove it from the new mandatory set.	FROZEN_RESEARCH_CLASSIFICATION_NO_E01_RESTART
