contract_id	family	rust_surfaces	pre_state	input_ownership	post_state_result	invalidation	failure_drop_abandonment	complexity	layout_identity_order	behavior_parameter	implementation_privilege_evidence	xlang_current_status	required_obligations	source_refs
TEXT-SEARCH-01	text_pattern_search	str::{contains,starts_with,ends_with,find,rfind,strip_prefix,strip_suffix}	Valid text and pattern	Shared borrows or owned pattern object	Boolean, byte index, or surviving text subview	Returned view tied to source	No structural failure; pattern behavior must not violate validity	Pattern-dependent, generally O(n*m) upper envelope unless specialized	Byte indices are character boundaries; direction observable	Pattern and optional reverse searcher	Rust Pattern/Searcher internals are partly unstable; stable safe methods hide them	X	Freeze supported pattern behavior, static dispatch, result boundaries, and complexity per pattern class	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=contains,starts_with,ends_with,find,rfind,strip_prefix,strip_suffix
TEXT-MATCH-ITER-01	text_pattern_iteration	str::{matches,rmatches,match_indices,rmatch_indices}; helpers={Matches,RMatches,MatchIndices,RMatchIndices}	Valid text and pattern	Shared text plus pattern state	Iterator of non-overlapping matches or boundary-aligned byte-index/match pairs	Iterator retains text and pattern state	Abandonment releases borrows	Pattern-dependent; O(input plus search overhead)	Forward/reverse match order and empty-pattern behavior observable	Pattern and direction	Safe API hides searcher state	X	Pattern protocol, progress on empty matches, boundary proof, and early abandonment	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=matches,rmatches,match_indices,rmatch_indices
TEXT-SPLIT-PATTERN-01	text_pattern_iteration	str::{split,rsplit,splitn,rsplitn,split_inclusive,split_terminator,rsplit_terminator,split_once,rsplit_once}; helpers={Split,RSplit,SplitN,RSplitN,SplitInclusive,SplitTerminator,RSplitTerminator}	Valid text, pattern, optional limit, and direction	Shared borrow plus pattern state	Valid text fields with specified delimiter inclusion, terminator, direction, and maximum pieces	All returned views tied to source	No structural failure; empty-pattern progress must terminate	Pattern-dependent, O(input plus search overhead)	Fields cover selected portions in observable order	Pattern; direction; inclusive/terminator; limit	Safe stateful search cursor	X	Boundary-safe fields, empty pattern progress, exact field semantics, and cursor abandonment	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=split,rsplit,splitn,rsplitn,split_inclusive,split_terminator,rsplit_terminator,split_once,rsplit_once
TEXT-LINES-01	text_line_iteration	str::{lines,lines_any,split_whitespace,split_ascii_whitespace}; helpers={Lines,LinesAny,SplitWhitespace,SplitAsciiWhitespace}	Valid text	Shared borrow	Iterator of line or whitespace-separated valid subviews	Iterator retains source	Abandonment releases borrow	O(n)	Source order; line terminator and Unicode-versus-ASCII whitespace semantics observable	Line/whitespace definition	Safe specialized split cursor	X	Exact delimiter definitions, no invalid boundary, and progress proof	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=lines,lines_any,split_whitespace,split_ascii_whitespace
TEXT-TRIM-01	text_boundary_view	str::{trim,trim_start,trim_end,trim_left,trim_right,trim_matches,trim_start_matches,trim_end_matches,trim_left_matches,trim_right_matches,trim_ascii,trim_ascii_start,trim_ascii_end}	Valid text and optional pattern	Shared borrow	Subview with selected boundary matches removed	Returned view tied to source	Total for built-in whitespace; pattern behavior must terminate	O(n) or pattern-dependent	No movement; source-relative order retained	Unicode whitespace, ASCII whitespace, or Pattern; direction	Safe boundary scan; left/right are deprecated aliases merged here	X	Alias equivalence, pattern progress, UTF-8 boundary, and provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=trim,trim_start,trim_end,trim_left,trim_right,trim_matches,trim_start_matches,trim_end_matches,trim_left_matches,trim_right_matches,trim_ascii,trim_ascii_start,trim_ascii_end
TEXT-ESCAPE-01	text_escape_iteration	str::{escape_debug,escape_default,escape_unicode}; helpers={EscapeDebug,EscapeDefault,EscapeUnicode}	Valid text	Shared borrow	Iterator producing deterministic escaped text	Iterator retains source	Abandonment releases borrow	O(output length)	Unicode scalar order retained with deterministic expansion	Escape dialect	Safe scalar decoder plus escape table	X	Canonical escaping, expansion bound, and iterator cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=escape_debug,escape_default,escape_unicode
TEXT-PARSE-01	behavior_conversion	str::parse	Valid text	Shared borrow; target type behavior selected statically	Result<F,F::Err>	Source remains valid	Target-defined recoverable failure; no partial output escapes	Target-defined, at least O(input) commonly	No source layout guarantee for result	FromStr behavior	Safe generic call	X; complete callable static-member path and text type absent	Effect/error contract of behavior, static dispatch, and no hidden unsafe	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=parse
TEXT-ASCII-01	validated_text_ascii	str::{is_ascii,eq_ignore_ascii_case,make_ascii_lowercase,make_ascii_uppercase,to_ascii_lowercase,to_ascii_uppercase}	Valid UTF-8 text	Shared or unique borrow; allocation for to_* variants	Predicate, in-place validity-preserving edit, or new owned text	In-place form changes byte values but preserves UTF-8 and length	Allocating forms may fail/OOM; in-place forms total	O(n)	Length/order retained in place; allocating result contiguous	Case operation	Safe because ASCII substitutions preserve UTF-8	X as text contract; byte-only in-place equivalent is E	Validated-text invariant preservation and allocation cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=is_ascii,eq_ignore_ascii_case,make_ascii_lowercase,make_ascii_uppercase,to_ascii_lowercase,to_ascii_uppercase
TEXT-UNICASE-01	unicode_text_construction	str::{to_lowercase,to_uppercase}	Valid UTF-8 text	Shared borrow	New owned valid UTF-8 text with Unicode case mapping	Source unchanged	Allocation failure/OOM; expansion and partial-output cleanup	O(input plus output)	Scalar order preserved but output length may expand	Unicode case tables	Safe library uses Unicode data and growable output	X	Versioned Unicode semantics, checked growth, validity sealing, and exact cleanup	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=to_lowercase,to_uppercase
TEXT-REPLACE-01	text_pattern_construction	str::{replace,replacen}	Valid source, pattern, replacement text, optional count	Shared borrows plus pattern state	New valid text with selected matches replaced	Inputs unchanged	Checked output sizing, allocation failure/OOM, and partial-output cleanup	Pattern-dependent plus O(output)	Source order and replacement limit observable	Pattern and maximum replacements	Safe search plus growable UTF-8 construction	X	Pattern progress, size overflow, allocation cleanup, and validity by construction	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=replace,replacen
TEXT-REPEAT-01	text_construction	str::repeat	Valid text and repetition count	Shared borrow	New valid text containing n copies	Source unchanged	Checked multiplication overflow and allocation failure/OOM	O(n*len)	Contiguous repeated byte order	Count	Safe bulk allocation/copy	X	Checked size, growth failure, output validity, and no placeholder bytes	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str member=repeat
TEXT-BOX-CONVERT-01	text_owner_conversion	str::{into_boxed_bytes,into_string}	Owned Box<str>	Consumes text owner	Owned bytes box or growable String preserving bytes	Source owner invalid	No semantic failure; representation may be reused	O(1) when allocation reused	Contiguous bytes retained; ownership representation changes	Target owner type	Safe raw allocation ownership conversion internally	X	Owned validated-text type, allocation ownership transfer, and exact drop	RUST-1.97.0-API-INVENTORY.tsv item_path=std::str members=into_boxed_bytes,into_string
BOX-NEW-01	unique_heap_owner	Box::new	Owned initialized T	Moves T	Unique heap owner containing T	Input binding dead; owner uniquely controls allocation	OOM follows Rust global allocation policy; on abort no normal return	O(1) plus allocator	Stable unique allocation address until owner conversion/move of allocation	Allocator	Safe allocation	E for box<T>	Checked allocation size, exact ownership, exact drop, and OOM policy	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box member=new; https://doc.rust-lang.org/1.97.0/std/boxed/struct.Box.html
BOX-PIN-01	address_sensitive_owner	Box::{pin,into_pin}	Initialized T or existing unique box	Moves T/Box	Pinned unique owner promising no move of T through safe API	Input owner consumed; pin projections constrain later access	OOM for pin(value); conversion itself total	O(1) plus allocation for pin	Stable address is observable contract	Pin contract	Safe API relies on Pin invariants	X; no pin/address-sensitive type contract	Address stability, projection, destruction, and no safe move-out	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box members=pin,into_pin
BOX-DOWNCAST-01	type_erased_owner	Box::<dyn Any{,+Send,+Send+Sync}>::downcast	Owned type-erased box	Consumes box	Success returns concrete Box<T>; failure returns original owner	Input owner consumed into exactly one result arm	Type mismatch is recoverable and preserves original owner	O(1) type-id check	Same allocation/identity retained	Runtime type identity	Safe checked type-id refinement	X; no dynamic dispatch/type erasure	Runtime type fact, failure ownership preservation, and no layout confusion	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box member=downcast (three canonical declarations)
BOX-INIT-01	partial_initialization	Box::{new_uninit,new_uninit_slice,new_zeroed,new_zeroed_slice,write}	No T value yet, or Box<MaybeUninit<T>> plus owned T	Allocation plus later move-in	Uninitialized/zeroed storage owner; write seals a scalar slot into Box<T>	Storage owner persists; T access forbidden before seal	OOM; slice length overflow; abandonment drops allocation but not nonexistent T	O(1) scalar or O(n) zeroing	Unique stable allocation; slice is contiguous	Length and zero-fill choice	Safe constructors expose MaybeUninit; write is a safe seal; assume_init remains unsafe	X; public uninitialized state forbidden	Checked private occupancy state, one-time seal, underfill abandonment, and no readable T before initialization	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::boxed::Box members=new_uninit,new_uninit_slice,new_zeroed,new_zeroed_slice,write; src/alloc/boxed.rs.html#311
SEQ-META-01	dense_sequence	Vec::{new,with_capacity,len,is_empty,capacity}	No owner or valid dense sequence	Optional capacity request	Empty owner or metadata values	No element invalidation for reads; with_capacity creates owner	Capacity overflow/OOM for allocating constructor	O(1) except allocator	Contiguous [0,len) values with capacity>=len; address may change on later growth	Requested capacity	Safe surface; implementation owns raw allocation metadata	X; current buffer has fixed len and no spare capacity	Dense-prefix invariant, checked capacity, exact drop, and no initialization of spare T	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=new,with_capacity,len,is_empty,capacity; https://doc.rust-lang.org/1.97.0/std/vec/struct.Vec.html
SEQ-RESERVE-01	dense_sequence_growth	Vec::{reserve,reserve_exact}	Valid dense sequence	Unique owner borrow and additional count	Capacity sufficient for at least len+additional; values preserved	Successful reallocation invalidates all element addresses/borrows	Capacity overflow panics; OOM follows global policy; failure must not expose partial relocation	Amortized O(1) per future push; individual O(n) relocation	Contiguity/order retained; address may change; exact reserve need not allocate exact amount	Growth policy	Implementation uses allocator and raw relocation	X	Failure-atomic affine relocation, checked arithmetic, exact drop, and no spare initialization	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=reserve,reserve_exact
SEQ-TRY-RESERVE-01	dense_sequence_growth	Vec::{try_reserve,try_reserve_exact}; TryReserveError	Valid dense sequence	Unique owner borrow and additional count	Success provides capacity; error preserves sequence and ownership	Only success may invalidate addresses	Capacity overflow or allocator failure returns opaque TryReserveError; no input loss	Individual O(n) relocation; amortized policy for non-exact form	Same as reserve	Growth policy	Safe surface catches allocator/capacity failure; error kind is unstable in Rust 1.97	X	Recoverable failure taxonomy, full state preservation, affine relocation rollback, and opaque-versus-typed error decision deferred	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=try_reserve,try_reserve_exact; alloc::collections::TryReserveError
SEQ-SHRINK-01	dense_sequence_growth	Vec::{shrink_to,shrink_to_fit}	Valid dense sequence	Unique owner borrow	Capacity reduced subject to len/minimum; values preserved	Reallocation may invalidate all addresses	Allocator failure behavior is nonrecovering/implementation-defined within Rust guarantees	O(n) relocation when allocation changes	Contiguity/order retained; capacity lower bound observable, exact capacity not promised	Minimum capacity	Raw allocator relocation	X	Failure and OOM rule, affine relocation, no element loss, and minimum-capacity semantics	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=shrink_to,shrink_to_fit
SEQ-VIEW-01	dense_sequence_view	Vec::{as_slice,as_mut_slice}	Valid dense sequence	Shared or unique owner borrow	Borrowed view over initialized prefix only	View blocks relocation; unique view blocks overlap	Total	O(1)	Contiguous order and addresses stable for borrow lifetime	None	Safe prefix view derived from len metadata	X as growable owner; E for current fixed Copy buffer view	Metadata-to-initialization fact, borrow invalidation, and no spare exposure	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=as_slice,as_mut_slice
SEQ-PUSH-01	dense_sequence_insert	Vec::{push,push_mut}	Valid sequence, possibly full capacity	Moves owned T	Value appended; push_mut additionally returns unique borrow to inserted T	Offered T consumed only on success; growth invalidates prior addresses; returned borrow blocks mutation	OOM/capacity overflow must not lose offered affine value under xlang requirement; Rust push is nonrecovering	Amortized O(1), worst-case O(n) relocation	Contiguous order; append at old len	None	Raw spare write plus len commit; push_mut exposes post-commit borrow	X	Failure ownership return, one-time initialization, commit ordering, relocation, and returned-borrow provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=push,push_mut
SEQ-INSERT-01	dense_sequence_insert	Vec::{insert,insert_mut}	Valid sequence and index<=len	Moves owned T	Value inserted at index; suffix shifted; insert_mut returns unique borrow	Prior element addresses at/after index invalid; input consumed on success	index>len panics before consuming/mutating; growth failure must preserve owner and offered T in xlang contract	O(n-index) moves plus possible growth	Stable relative order of old elements	Insertion index	Raw overlapping relocation, spare initialization, and len commit	X	Affine hole state, failure-before-consumption, exact movement/drop, and returned borrow	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=insert,insert_mut
SEQ-POP-01	dense_sequence_remove	Vec::{pop,pop_if}	Possibly empty dense sequence	Unique owner borrow; pop_if also predicate borrowing last T	Option<T> moved from tail when present/accepted; len decreases	Borrowed last value valid only during predicate; removed value ownership transfers	Empty/rejected predicate leaves sequence unchanged; callback trap must leave valid owner	O(1)	Remaining order and addresses retained	Optional FnOnce(&mut T)->bool	Raw read followed by len update; callback precedes commit	X	Affine move-out, predicate borrow scope, exact commit point, and no double drop	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=pop,pop_if
SEQ-REMOVE-01	dense_sequence_remove	Vec::{remove,swap_remove}	Nonempty sequence and valid index	Unique owner borrow	Removed T returned; len decreases	All prior borrows invalid during mutation; ordered remove shifts suffix; swap_remove moves tail into hole	Invalid index panics before mutation	O(n-index) ordered; O(1) unordered	Ordered form preserves relative order; swap_remove does not	Removal order contract	Raw move-out and relocation through temporary hole	X	Affine move-out, transient hole safety, exact drop, index failure ordering, and movement bounds	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=remove,swap_remove
SEQ-APPEND-01	dense_sequence_bulk_move	Vec::append	Two valid sequences	Unique borrows of both; moves all T from other	Destination gains values in order; other becomes empty	Both sequences' element addresses may invalidate; all moved ownership transfers once	Growth/OOM must preserve both owners and all values under recoverable xlang design	O(other.len) moves plus possible allocation	Destination prefix then source order	None	Raw bulk relocation and two len commits	X	Two-owner failure atomicity, no clone, exact drops, and self/alias exclusion	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=append
SEQ-EXTEND-COPY-01	dense_sequence_bulk_insert	Vec::{extend_from_slice,extend_from_within}	Valid sequence and source slice/range	Unique destination plus Clone source; within-source aliases same owner read-only before growth	Cloned values appended in order	Growth invalidates addresses; source values remain	Range error or clone/allocation failure requires valid initialized prefix and exact cleanup	O(m) clone plus possible relocation	Contiguous order; within uses snapshot-equivalent source range	Clone	Raw reserve and partial clone initialization	X for affine Clone; Copy-specific fixed preallocation is U	Aliasing source across growth, partial clone cleanup, size overflow, and callback behavior	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=extend_from_slice,extend_from_within
SEQ-RESIZE-01	dense_sequence_resize	Vec::{resize,resize_with}	Valid sequence and target len	Unique owner plus Clone seed or producer	Truncated with drops or extended with produced values	Growth may invalidate addresses; removed values destroyed	Producer/clone/allocation failure leaves valid sequence with exact completed prefix	O(abs(new_len-len)) plus relocation	Existing prefix order retained	Clone seed or FnMut()->T	Raw partial initialization and truncation drop loop	X	General affine construction, failure cleanup, exact drop, and no placeholder T	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=resize,resize_with
SEQ-TRUNCATE-01	dense_sequence_drop	Vec::{truncate,clear}	Valid sequence	Unique owner borrow	Suffix or all values destroyed; len reduced; capacity retained	Borrows to removed and retained elements invalid during mutation	Element destructor unwind in Rust may leak remainder to avoid double drop; xlang traps abort and must state resource envelope	O(number removed)	Retained prefix order/address unchanged	New len or zero	Implementation shortens len before drop to preserve safety	X for affine elements; resetting Copy count is U workaround only	Exact normal-exit destruction, aborting-trap rule, metadata commit before drop, and no double drop	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=truncate,clear; src/alloc/vec/mod.rs.html#3005
SEQ-RETAIN-01	dense_sequence_compaction	Vec::{retain,retain_mut}	Valid sequence	Unique owner plus predicate borrowing each T	Stable subsequence retained; rejected values destroyed	All element positions may change; callback borrows do not escape	Callback trap must leave a valid owner and exact-once ownership of all values	O(n), at most one predicate call per element	Stable order; contiguous result	FnMut(&T)->bool or FnMut(&mut T)->bool	Raw gap compaction with drop guard	X	Affine transient hole, predicate order/call count, trap state, exact drops, and minimal movement	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=retain,retain_mut
SEQ-DEDUP-01	dense_sequence_compaction	Vec::{dedup,dedup_by,dedup_by_key}	Valid sequence	Unique owner plus equality/key behavior	Consecutive duplicates removed; first/behavior-selected representative retained	Positions after first removal change	Callback trap must preserve valid initialized sequence and exact ownership	O(n)	Stable relative order of retained values	PartialEq, FnMut(&mut T,&mut T)->bool, or key projection	Raw gap compaction and drops	X	Affine hole, adjacent mutable borrow disjointness, behavior call order, and exact drops	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=dedup,dedup_by,dedup_by_key
SEQ-DRAIN-01	dense_sequence_lazy_remove	Vec::drain; helper=vec::Drain::{as_slice,Iterator,DoubleEndedIterator,ExactSizeIterator,FusedIterator,Drop}	Valid sequence and range	Unique borrow retained by cursor	Iterator moves removed T values; on Drop remaining removed values are destroyed and tail restored	Sequence unavailable while cursor lives; positions after range relocate at completion	Invalid range panics; early drop repairs owner; forgetting cursor may leak and lose elements in Rust	O(range+tail movement)	Yield order forward/reverse; retained order stable	Range and consumption direction	Implementation temporarily shortens len and relies on Drop plus raw pointer repair	X; no finalizer and abandoned affine token cannot be trusted	Non-escapable/scoped cleanup or atomic alternative, exact early-abandonment semantics, and transient-hole proof	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=drain; src/alloc/vec/mod.rs.html#2942
SEQ-EXTRACT-01	dense_sequence_lazy_remove	Vec::extract_if; helper=vec::ExtractIf::{Iterator,Drop}	Valid sequence and range	Unique borrow plus predicate	Iterator moves matching T values; nonmatching values retained stably	Sequence unavailable while cursor lives; positions may change	Partial consumption and early drop stop further testing and restore valid owner; callback trap requires valid state	O(visited elements plus compaction)	Stable retained order and source-order yielded values	Range and FnMut(&mut T)->bool	Raw gap cursor with Drop repair	X	Cursor abandonment, predicate call count, affine hole, exact drop, and no writer finish obligation	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=extract_if
SEQ-SPLICE-01	dense_sequence_lazy_replace	Vec::splice; helper=vec::Splice::{Iterator,DoubleEndedIterator,ExactSizeIterator,Drop}	Valid sequence, removal range, replacement iterator	Unique borrow; replacement iterator owns incoming values	Removed values yielded; replacement inserted; owner repaired on cursor drop	Sequence unavailable during cursor; suffix addresses may change	Invalid range, replacement trap, allocation failure, or early drop must preserve valid ownership; leaking cursor has Rust leak caveat	O(removed+inserted+tail movement)	Replacement order and retained order stable	Range plus IntoIterator<Item=T>	Raw hole, reserve, iterator pull, and Drop repair	X	Multi-source affine transaction, failure ownership, early abandonment, exact drop, and movement bound	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=splice
SEQ-SPLIT-01	dense_sequence_partition	Vec::split_off	Valid sequence and index<=len	Unique owner borrow	New owner receives suffix; original retains prefix	All suffix ownership transfers; allocation may change addresses	Invalid index panics; allocation failure must preserve original under recoverable contract	O(len-index) moves and one allocation	Both results contiguous and preserve order	Split index	Raw allocation and bulk relocation	X	Failure-atomic ownership split, exact drops, checked index, and direct movement	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=split_off
SEQ-CONVERT-01	dense_sequence_owner_conversion	Vec::{into_boxed_slice,into_flattened}	Owned valid Vec<T> or Vec<[T;N]>	Consumes owner	Box<[T]> with len elements or flattened Vec<T>	Source owner dead; allocation may be reused	Capacity shrink allocation may fail/OOM; flatten length multiplication checked	O(n) worst-case relocation or O(1) metadata reshape	Contiguous order retained; flatten preserves nested row-major order	Const N	Safe raw ownership and metadata conversion	X	Ownership transfer, checked length arithmetic, exact capacity/drop semantics, and no hidden copies	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=into_boxed_slice,into_flattened
DEQUE-META-01	deque	VecDeque::{new,with_capacity,len,is_empty,capacity}	No owner or valid deque	Optional capacity request	Empty owner or metadata values	None	Capacity overflow/OOM for allocating constructor	O(1) except allocator	Logical order independent of physical wrap; no contiguity promise	Requested capacity	Safe surface over ring metadata and raw allocation	X	Initialized occupancy topology, checked capacity, exact drop, and no spare payload initialization	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=new,with_capacity,len,is_empty,capacity; https://doc.rust-lang.org/1.97.0/std/collections/struct.VecDeque.html
DEQUE-RESERVE-01	deque_growth	VecDeque::{reserve,reserve_exact,try_reserve,try_reserve_exact,shrink_to,shrink_to_fit}; TryReserveError	Valid deque	Unique owner borrow plus capacity request	Capacity changed while logical values/order remain	Reallocation invalidates all element addresses	Trapping/OOM and recoverable reserve forms remain distinct; try failure preserves owner	O(n) relocation on resize; amortized O(1) end growth	Logical order retained; wrap/layout may change	Growth policy and recoverable flag	Raw allocator relocation across one or two segments	X	Failure-atomic affine relocation, wrapped occupancy proof, exact drops, and error taxonomy	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=reserve,reserve_exact,try_reserve,try_reserve_exact,shrink_to,shrink_to_fit
DEQUE-VIEW-01	deque_view	VecDeque::{as_slices,as_mut_slices}	Valid deque	Shared or unique borrow	One or two views whose concatenation is logical order	Mutable outputs disjoint and jointly exclude deque access	Total	O(1)	Exposes physical segmentation but not capacity slots	None	Safe derivation from ring head/len metadata	X	Metadata-to-occupancy fact, two-range disjointness, and exact logical coverage	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=as_slices,as_mut_slices
DEQUE-CONTIG-01	deque_relayout	VecDeque::make_contiguous	Valid deque	Unique owner borrow	Unique contiguous view of all logical elements; deque may be rotated internally	All prior element addresses/position assumptions invalid	No allocation promised; operation must preserve every value	O(n)	Logical order retained; physical layout becomes one slice	None	Raw overlapping rotation/relocation	X	Affine relocation across wrap, returned-borrow provenance, exact occupancy, and movement bound	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque member=make_contiguous
DEQUE-ACCESS-01	deque_access	VecDeque::{front,back,front_mut,back_mut,get,get_mut}	Possibly empty deque and optional logical index	Shared or unique borrow	Option of endpoint/indexed element borrow	Returned borrow tied to deque; mutable form excludes overlap	Empty/out-of-range returns None	O(1)	Logical index order; physical segment hidden	Endpoint or index	Safe ring-index arithmetic	X; fixed Copy ring can be handwritten but general affine deque absent	Checked modular arithmetic, occupancy proof, and unique provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=front,back,front_mut,back_mut,get,get_mut
DEQUE-RANGE-01	deque_view	VecDeque::{range,range_mut}	Valid deque and in-bounds range	Shared or unique borrow	Iterator over selected logical range	Iterator retains deque borrow; mutable yields disjoint elements	Invalid range panics	O(1) creation, O(range) traversal	Logical order retained across physical wrap	Range bounds	Safe segmented iterator	X	Range checking, wrapped cursor, unique yield, and abandonment	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=range,range_mut
DEQUE-ITER-01	deque_iteration	VecDeque::{iter,iter_mut}; helpers=vec_deque::{Iter,IterMut,IntoIter}	Valid deque	Shared, unique, or owning traversal	Logical-order elements by borrow or move	Borrowed iterator retains source; owning iterator consumes deque	Exhaustion/abandonment releases borrows or drops remaining owned values	O(1) next; O(n) full traversal	Logical order, double-ended and exact-size behavior	Iterator mode	Safe facade over two physical ranges	X	Wrapped cursor correctness, affine owning cleanup, and unique disjoint yields	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=iter,iter_mut; helper module=alloc::collections::vec_deque
DEQUE-PUSH-01	deque_insert	VecDeque::{push_front,push_back,push_front_mut,push_back_mut}	Valid deque, possibly full	Moves owned T	Value inserted at selected end; *_mut returns unique borrow	Growth invalidates addresses; input consumed on success	Growth failure must not lose offered affine value under xlang obligation	Amortized O(1), O(n) worst-case growth	Logical order changes at chosen end	End direction	Raw spare-slot write plus ring metadata commit	X	Sparse/wrapped initialization, failure ownership, commit ordering, and returned borrow	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=push_front,push_back,push_front_mut,push_back_mut
DEQUE-POP-01	deque_remove	VecDeque::{pop_front,pop_back,pop_front_if,pop_back_if}	Possibly empty deque	Unique owner; conditional form borrows endpoint for predicate	Option<T> moved from selected end when present/accepted	Removed slot becomes spare; returned T owns payload	Empty/rejected predicate leaves deque unchanged; callback trap must leave valid state	O(1)	Remaining logical order retained	End direction and optional FnOnce(&mut T)->bool	Raw move-out and head/len commit	X	Affine move-out, wrapped occupancy invalidation, predicate scope, and exact drop	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=pop_front,pop_back,pop_front_if,pop_back_if
DEQUE-INSERT-01	deque_insert	VecDeque::{insert,insert_mut}	Valid deque and index<=len	Moves owned T	Value inserted; nearer end shifted; insert_mut returns unique borrow	Addresses and logical positions in shifted segment invalidate	Invalid index panics before mutation; growth failure must preserve owner/input under xlang contract	O(min(index,len-index)) plus growth	Logical order stable except inserted value	Index	Raw wrapped shift and temporary hole	X	Affine wrapped relocation, failure ownership, commit point, and returned borrow	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=insert,insert_mut
DEQUE-REMOVE-01	deque_remove	VecDeque::{remove,swap_remove_front,swap_remove_back}	Valid deque and index	Unique owner borrow	Option<T> removed; ordered remove shifts nearer side; swap forms replace hole from chosen end	Shifted positions invalidate	Out-of-range returns None	O(min(index,len-index)) ordered; O(1) swap forms	Ordered remove preserves order; swap forms explicitly do not	Removal strategy	Raw move-out through wrapped hole	X	Affine hole state, occupancy updates, exact ownership, and distinct order contracts	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=remove,swap_remove_front,swap_remove_back
DEQUE-SWAP-01	deque_relocation	VecDeque::swap	Valid deque and two indices	Unique owner borrow	Values exchanged	Position-based assumptions invalidate	Invalid index panics before mutation	O(1)	Logical positions fixed; identities exchange	Two indices	Ring-index computation and typed swap	X for dynamic affine places	Dynamic distinctness/alias proof and no deinitialization	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque member=swap
DEQUE-BULK-01	deque_bulk_move	VecDeque::{append,split_off}	One or two valid deques and optional split index	Unique owners; moves payloads	Append empties source into destination; split creates new suffix owner	Reallocation/relayout invalidates addresses	Invalid split panics; allocation failure must preserve all affine values	O(m) with possible allocation	Logical order preserved	Append versus split	Raw segmented relocation and multiple metadata commits	X	Two-owner transaction, failure atomicity, wrapped movement, and exact drops	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=append,split_off
