contract_id	branch_id	route_scope	role	returns_borrow_bearing_owner	requires_result_provenance	condition	conditional_capability_ids	disposition	reopening_trigger
DEQUE-META-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RESERVE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-CONTIG-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RANGE-01	BORROW_BEARING_RANGE_DESCRIPTOR	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	range consumes a user-defined RangeBounds descriptor R containing live borrow leaves and calls RangeBounds only while R is live. The same R outer owner remains valid across each normal call, but a shared-receiver call may end, replace, or move R's internal leaves only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and any unique transfer ends in R before destination liveness; temporary &R, field addresses, and call frames mint no root. Each later call consumes the preceding post-R state. R is destroyed exactly once; no returned cursor or payload provenance derives from R. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-ITER-01	OWNING_INTOITER_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	VecDeque owning IntoIter state yields payload values containing borrow leaves; borrowed iteration members are not widened by this branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-PUSH-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-POP-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-POP-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the *_if predicate environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-INSERT-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-REMOVE-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-SWAP-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-BULK-01	APPEND_BORROW_BEARING_PAYLOAD	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	VecDeque::append moves retained payload values containing borrow leaves between owners; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-BULK-01	SPLIT_OFF_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	VecDeque::split_off returns a new owner whose retained payload values contain borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RESIZE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RESIZE-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the producer-form resize environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RESIZE-01	CLONE_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	VecDeque::resize stores each T returned by Clone::clone. Every live borrow leaf follows the declared Clone result-provenance relation and never derives from the temporary seed reborrow, destination allocation, receiver, or call frame. The same Clone source owner remains valid on normal return, but Clone may end, replace, or move its internal borrow leaves under the declared Clone source behavior-effect relation. Post-call source leaves and result leaves jointly follow that source-effect relation and the Clone result-provenance relation: surviving source leaves keep their roots, every ended leaf ends once, every new leaf is authorized, and a unique leaf transferred to the result ends in the source before result liveness and is never simultaneously live in both. For repeated helper calls, call i + 1 consumes call i's post-source state rather than a frozen original source leaf map.  The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RESIZE-01	PRODUCER_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	VecDeque::resize_with stores each T returned by its producer. Every live borrow leaf follows the callable result-provenance relation and never derives from a temporary destination reborrow, callable receiver, or call frame. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RETAIN-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-RETAIN-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the retain predicate environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-DRAIN-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-DRAIN-01	BORROW_BEARING_RANGE_DESCRIPTOR	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	drain consumes a user-defined RangeBounds descriptor R containing live borrow leaves and calls RangeBounds only while R is live. The same R outer owner remains valid across each normal call, but a shared-receiver call may end, replace, or move R's internal leaves only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and any unique transfer ends in R before destination liveness; temporary &R, field addresses, and call frames mint no root. Each later call consumes the preceding post-R state. R is destroyed exactly once; no returned cursor or payload provenance derives from R. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-ROTATE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-SEARCH-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the behavior-taking search environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
DEQUE-SEARCH-01	KEY_RESULT_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	binary_search_by_key's produced key contains live borrow leaves; each produced key remains valid through every comparison and is destroyed exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-META-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-PUSH-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-POP-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-BULK-01	APPEND_BORROW_BEARING_PAYLOAD	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	LinkedList::append rewires retained payload values containing borrow leaves into another owner; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-BULK-01	SPLIT_OFF_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	LinkedList::split_off returns a new owner whose retained payload values contain borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-DROP-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
LIST-ITER-01	OWNING_INTOITER_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	LinkedList owning IntoIter state yields payload values containing borrow leaves; borrowed iteration members are not widened by this branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-META-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-RESERVE-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-PEEK-01	PEEK_MUT_POP_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	PeekMut::pop returns an owned payload containing borrow leaves; peek and peek_mut outer-borrow members are not widened by this branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-MUTATE-01	POP_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	BinaryHeap::pop returns an owned payload containing borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-MUTATE-01	PUSH_BORROW_BEARING_PAYLOAD	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	BinaryHeap::push stores a payload containing borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-APPEND-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-RETAIN-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-RETAIN-01	CALLABLE_ENV_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	For the retain predicate environment, the owned behavior environment contains live borrow leaves, remains valid for every permitted zero-or-more invocation path, and is destroyed exactly once including a not-invoked branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-DRAIN-01	CLEAR_BORROW_BEARING_PAYLOAD	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	BinaryHeap::clear destroys retained payload values containing borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-DRAIN-01	DRAIN_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	BinaryHeap::drain returns owning traversal state that yields payload values containing borrow leaves; the base matrix branch is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-VIEW-01	OWNING_INTOITER_BORROW_BEARING_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	BinaryHeap owning IntoIter state yields payload values containing borrow leaves; as_slice and borrowed Iter members are not widened by this branch. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
HEAP-CONVERT-01	BORROW_BEARING_OWNED_RESULT	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-META-01	BORROW_BEARING_STORED_TRANSITION	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The generic retained payload contains one or more shared or unique borrow leaves; the base matrix route applies only when that payload is region-free and borrow-free. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-INSERT-01	ABSENT_STORE_KEY_VALUE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	Absent insert stores offered K and V; either live stored role contains borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-INSERT-01	EXIT_RECOVERABLE_FAILURE	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	Recoverable precommit capacity or allocation failure returns offered K and V as the sole owners, with the map unchanged; either returned role contains live borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-INSERT-01	OCCUPIED_DROP_OFFERED_KEY	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	An equivalent key exists, the canonical stored K survives, and offered K containing live borrow leaves is destroyed. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-INSERT-01	OCCUPIED_RETURN_DISPLACED_VALUE	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	An equivalent key exists and displaced V containing live borrow leaves is returned while offered V remains valid in storage. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-RESULT,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
OMAP-INSERT-01	OCCUPIED_STORE_OFFERED_VALUE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	An equivalent key exists and offered V containing live borrow leaves replaces the old V. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-PROV,BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	AND_MODIFY_CALLABLE_ENV	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	The owned modifier environment contains live borrow leaves; it is invoked only for occupied entry state and otherwise is destroyed unused exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	AND_MODIFY_STORED_VALUE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	Occupied Entry::and_modify reborrows and may mutate stored V containing live borrow leaves, then returns the guard with valid storage relations. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	EXIT_RECOVERABLE_FAILURE	REGION_FREE_BORROW_FREE	BORROW_BEARING_RESULT	yes	yes	Normalized recoverable precommit failure returns candidate K from hash-entry pre-reserve, or candidate K plus any already-offered or produced V from vacant B-tree insertion, and at least one returned owner contains borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	GENERATED_HASHER_BORROW_STATE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	yes	Each BuildHasher::build_hasher call returns exactly one call-local H owner whose initial borrow leaves and the post-call leaves retained by the same valid S owner jointly follow the declared BuildHasher result and behavior-effect relations. Every surviving S leaf keeps its exact root; each newly installed S leaf and each initial H leaf follows those relations. A unique leaf moved from S into H ends in S before becoming live in H and is never simultaneously live in both. No H leaf derives from the call-scoped &S receiver, the address or storage of an S field, or the call frame, although an existing leaf value stored in S may transfer with its independent external root. The same H owner remains valid across the required Hash::hash and Hasher calls; those calls may evolve H's internal leaves only under the declared Hasher behavior-effect relation, with surviving roots preserved and ended unique leaves not duplicated. H is accessed only by call-scoped reborrows and is destroyed exactly once before the operation or lazy cursor step completes. H or S provenance never becomes payload or public result-borrow provenance. Hash output may influence the logical probe, destination, or Boolean result, but alone mints no occupancy, liveness, uniqueness, or check-elision fact; occupancy metadata gates payload access and Eq gates equivalence. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	HASH_ENTRY_STORED_HASHER_STATE	REGION_FREE_BORROW_FREE	RETAINED_STATE	no	no	Only the HashMap entry path invokes stored BuildHasher S. The same S owner remains map-owned and valid, but build_hasher may end, replace, or move internal borrow leaves only under the declared BuildHasher behavior-effect relation. Every surviving S leaf keeps its exact root and every newly installed S leaf follows that relation. A unique leaf transferred from S into generated H ends in S before it becomes live in H and is never simultaneously live in both owners; neither old nor new S leaf state grants payload or result provenance. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	INSERT_ENTRY_STORE_OR_REPLACE	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	Entry::insert_entry stores offered V; the vacant branch also stores candidate K, while the occupied branch destroys the displaced V exactly once. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
MAP-ENTRY-01	OCCUPIED_ENTRY_CANDIDATE_DROP	REGION_FREE_BORROW_FREE	STORED_TRANSITION	no	no	entry(K) finds an occupied slot, preserves the canonical stored key, and destroys candidate K containing live borrow leaves. The base matrix route applies only when every retained generic value in this branch is region-free and borrow-free.	BR-STORED	DEFERRED:stored-borrow-family	Stored-borrow Family Lock proves this exact conditional branch and reopens every shared representation, fact path, or generated-code dependency it changes.
