rule_id	match	domain	domain_scope_codes	canonical_route_or_blocked_claim	rationale
DOM-UNSTABLE-LANG-INDEX-STD	path:std::index	language organization and abstraction	LATER	Separate indexing-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-LANG-PAT-STD	path:std::pat	language organization and abstraction	LATER	Separate pattern-protocol review.	An unstable Rust spelling does not select an xlang mechanism.
DOM-UNSTABLE-TARGET-SIMD-CORE	path:core::simd	target intrinsics and dispatch	FRAME+LATER+NG	Separate portable-SIMD and target lock; unchecked intrinsics remain inadmissible.	The unstable catalog is implementation and future-demand evidence.
DOM-UNSTABLE-TARGET-SIMD-STD	path:std::simd	target intrinsics and dispatch	FRAME+LATER+NG	Separate portable-SIMD and target lock; unchecked intrinsics remain inadmissible.	The unstable catalog is implementation and future-demand evidence.
DOM-UNSTABLE-TARGET-PROFILING	path:core::profiling	target/compiler hints	FRAME+LATER+NG	Separate tooling/target lock.	Writer-selected profiling intrinsics cannot become unchecked optimizer facts.
DOM-UNSTABLE-TARGET-UB-CHECKS	path:core::ub_checks	target/compiler hints	FRAME+LATER+NG	Compiler/runtime evidence only.	Writer code cannot weaken or forge validity checks.
DOM-UNSTABLE-TARGET-BINDER	path:core::unsafe_binder	target/compiler hints	LATER+NG	Unsafe binder authority is inadmissible; any checked need requires separate normalization.	Unstable Rust syntax is not an xlang capability.
DOM-UNSTABLE-TARGET-BINDER-STD	path:std::unsafe_binder	target/compiler hints	LATER+NG	Unsafe binder authority is inadmissible; any checked need requires separate normalization.	Unstable Rust syntax is not an xlang capability.
DOM-UNSTABLE-RANDOM-CORE	path:core::random	compiler and runtime support	FRAME+LATER	Explicit holding route pending the separate randomness/entropy census.	Random algorithms and OS entropy are not closed by an unstable module.
DOM-UNSTABLE-RANDOM-STD	path:std::random	compiler and runtime support	FRAME+LATER	Explicit holding route pending the separate randomness/entropy census.	Random algorithms and OS entropy are not closed by an unstable module.
