contract_id	family	rust_surfaces	pre_state	input_ownership	post_state_result	invalidation	failure_drop_abandonment	complexity	layout_identity_order	behavior_parameter	implementation_privilege_evidence	xlang_current_status	required_obligations	source_refs
SEQ-RESIZE-01	dense_sequence_resize	Vec::{resize,resize_with}	Valid sequence and target len	Unique owner plus Clone seed or producer	Truncated with drops or extended with produced values	Growth may invalidate addresses; removed values destroyed. Clone source-effect contract: each normal Clone call maps one valid pre-source owner to a valid post-source owner plus one valid result under the joint declared source-effect and result-provenance relations. The same source shell remains valid, but its internal leaf map need not: surviving source leaves keep roots, every ended leaf ends once, every new source or result leaf is relation-authorized, and a unique leaf moved to the result ends in the source before result liveness and is never live in both. Repeated calls use the preceding post-source state rather than a frozen original map.	Producer/clone/allocation failure leaves valid sequence with exact completed prefix. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it. Temporary source views, receiver or field addresses, destination/container storage, and call frames mint no root unless the declared result relation names actual storage. A broken Clone law cannot weaken ownership, provenance, initialization, destruction, or fact-channel safety.	O(abs(new_len-len)) plus relocation	Existing prefix order retained	Clone seed or FnMut()->T	Raw partial initialization and truncation drop loop	X	General affine construction, failure cleanup, exact drop, and no placeholder T. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Use the compiled clone source-effect, helper, and repeat_n canaries to exercise source root replacement, unique transfer, repeated-call post-source chaining, exact old-leaf disposition, and rejection of temporary roots or duplicate unique authority.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=resize,resize_with. pinned Rust 1.97.0 library/core/src/clone.rs:194-250,506-562. compiled temporary xlang_clone_source_effects, xlang_clone_helper_source_effects, and xlang_repeat_n_source_effects canaries
SEQ-TRUNCATE-01	dense_sequence_drop	Vec::{truncate,clear}	Valid sequence	Unique owner borrow	Suffix or all values destroyed; len reduced; capacity retained	Borrows to removed and retained elements invalid during mutation	Element destructor unwind in Rust may leak remainder to avoid double drop; xlang traps abort and must state resource envelope	O(number removed)	Retained prefix order/address unchanged	New len or zero	Implementation shortens len before drop to preserve safety	X for affine elements; resetting Copy count is U workaround only	Exact normal-exit destruction, aborting-trap rule, metadata commit before drop, and no double drop	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=truncate,clear; src/alloc/vec/mod.rs.html#3005
SEQ-RETAIN-01	dense_sequence_compaction	Vec::{retain,retain_mut}	Valid sequence	Unique owner plus predicate borrowing each T	Stable subsequence retained; rejected values destroyed	All element positions may change; callback borrows do not escape	Callback trap must leave a valid owner and exact-once ownership of all values. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n), at most one predicate call per element	Stable order; contiguous result	FnMut(&T)->bool or FnMut(&mut T)->bool	Raw gap compaction with drop guard	X	Affine transient hole, predicate order/call count, trap state, exact drops, and minimal movement. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=retain,retain_mut
SEQ-DEDUP-01	dense_sequence_compaction	Vec::{dedup,dedup_by,dedup_by_key}	Valid sequence	Unique owner plus equality/key behavior	Consecutive duplicates removed; first/behavior-selected representative retained	Positions after first removal change. A materialized key/projection result keeps only provenance authorized by the callable capture or an independent static source; it never acquires provenance from the compared element or container merely because it was computed there.	Callback trap must preserve valid initialized sequence and exact ownership. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n)	Stable relative order of retained values	PartialEq, FnMut(&mut T,&mut T)->bool, or key projection	Raw gap compaction and drops	X	Affine hole, adjacent mutable borrow disjointness, behavior call order, and exact drops; simultaneous mutable-callback-input disjointness. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Exact disposition and provenance for every materialized key result; each operation-local key is consumed or destroyed exactly once, and this contract owns no cached key array.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=dedup,dedup_by,dedup_by_key
SEQ-DRAIN-01	dense_sequence_lazy_remove	Vec::drain; helper=vec::Drain::{as_slice,Iterator,DoubleEndedIterator,ExactSizeIterator,FusedIterator,Drop}	Valid sequence and range	Unique borrow retained by cursor. The drain member consumes its user-defined RangeBounds descriptor R by value; temporary endpoint borrows are bounded by R's live call interval.	Iterator moves removed T values; on Drop remaining removed values are destroyed and tail restored	Sequence unavailable while cursor authority lives; construction shortens len to the range start, and neither first nor repeated terminal None restores the tail or releases the source borrow. R is destroyed exactly once before normal cursor return and supplies no result provenance. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state. Each invoked runtime behavior is effectful by default, including through a shared receiver. Normal return preserves each nonconsumed outer owner, but its internal leaves may survive, end, move, or be installed only under declared behavior and result relations; later calls consume the preceding post-state.	Invalid range panics before cursor creation. Cursor destruction or consuming close from unused, partial, or terminal state destroys every unyielded removed T, moves the untouched tail, restores len, and only then releases source authority; forgetting the Rust cursor may leak or lose elements. A trap in any invoked user-defined behavior follows xlang EFF-4: immediate abort, no unwind cleanup or recoverable post-state promise, and no invalid read before abort.	O(range+tail movement)	Yield order forward/reverse; retained order stable	Range and consumption direction	Construction creates a shortened dense prefix; next only moves one removed T; Drain::drop plus its guard destroys the unyielded range and relocates the tail.	X; no finalizer and abandoned affine token cannot be trusted	Non-escapable/scoped cleanup or atomic alternative, exact early-abandonment semantics, and transient-hole proof; returned-cursor-only source provenance with owned Item yields. Exact by-value RangeBounds descriptor ownership, call-scoped endpoint provenance, descriptor destruction, and rejection of result provenance attributed to R. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact. Do not infer purity, idempotence, leaf-map preservation, call elision, duplication, common-subexpression elimination, fusion, or reordering without a declared relation or verified-body proof.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=drain; pinned Rust 1.97.0 library/alloc/src/vec/mod.rs:2975-3002 and library/alloc/src/vec/drain.rs:139-220
SEQ-EXTRACT-01	dense_sequence_lazy_remove	Vec::extract_if; helper=vec::ExtractIf::{Iterator,Drop}	Valid sequence and range	Unique borrow plus predicate; Lazy members consume F or Pattern into the returned cursor/searcher; eager members own the behavior value for the call. The by-value RangeBounds descriptor R is evaluated only while live, destroyed exactly once before the ExtractIf cursor is returned on every normal construction path, and is not retained by that cursor.	Iterator moves matching T values; nonmatching values retained stably	Sequence unavailable while cursor authority lives. Construction sets len to zero; each next compacts only processed retained values. First or repeated terminal None does not copy the untouched tail, restore len, release the borrow, or destroy F. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state.	Partial close stops further predicate calls. Cursor destruction from unused, partial, or terminal state copies the untouched tail, sets final len, then destroys retained F exactly once; R was already destroyed before cursor return. Callback trap must not read invalid state before abort.	O(visited elements plus compaction)	Stable retained order and source-order yielded values	Range and FnMut(&mut T)->bool	Raw gap cursor: construction sets len=0, next compacts processed retained values, and Drop copies the untouched tail and restores final len.	X	Cursor abandonment, predicate call count, affine hole, exact drop, and no writer finish obligation; returned-cursor-only source provenance with owned Item yields; stored-borrow preservation for arbitrary retained T, F, State, or cached Item fields; exact once destruction of owned callable, pattern, or searcher state Require exact call-scoped R disposition and reject cursor or yielded-Item provenance derived from R. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=extract_if; pinned Rust 1.97.0 library/alloc/src/vec/extract_if.rs:21-49,67-123 retained pred:F and Drop repair
SEQ-SPLICE-01	dense_sequence_lazy_replace	Vec::splice; helper=vec::Splice::{Iterator,DoubleEndedIterator,ExactSizeIterator,Drop}	Valid sequence, removal range, replacement iterator	Unique borrow; replacement iterator owns incoming values. Replacement iterator state and Item values may themselves contain shared or unique borrows whose exact external sources must be retained. The by-value RangeBounds descriptor R is evaluated only while live, destroyed exactly once before the Splice cursor is returned on every normal construction path, and is not retained by that cursor.	Removed values yielded; replacement inserted; owner repaired on cursor drop	Sequence unavailable while cursor authority lives; suffix addresses may change at close. R is destroyed before cursor return. The replacement iterator I remains stored after first or repeated terminal None, with zero replacement calls performed by those terminal calls. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state.	Invalid range fails before cursor creation; replacement trap or allocation failure occurs only during close-time replacement. Cursor destruction from unused, partial, or terminal state drains remaining removed values, then advances and inserts I, moves the tail, restores len through nested Drain cleanup, and destroys I exactly once. Borrow leaves in I or accepted Items retain their external roots.	O(removed+inserted+tail movement)	Replacement order and retained order stable	Range plus IntoIterator<Item=T>. The direct source may traverse shared, unique, owned, or composed Item branches.	Splice::next and next_back only delegate to Drain. Splice::drop drains the removed remainder, consumes/inserts replacement I, moves the tail, and then lets nested Drain restore len.	X	Multi-source affine transaction, failure ownership, early abandonment, exact drop, and movement bound; returned-cursor-only source provenance with owned Item yields. Stored-borrow preservation for replacement cursor state and inserted Item leaves; non-lending pairwise-live unique-Item disjointness; direct shared, unique, owned, and composed traversal without intermediate materialization. Require exact call-scoped R disposition and reject cursor or yielded-Item provenance derived from R. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=splice; pinned Rust 1.97.0 library/alloc/src/vec/mod.rs:4126-4132; library/alloc/src/vec/splice.rs:20-97; library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature
SEQ-SPLIT-01	dense_sequence_partition	Vec::split_off	Valid sequence and index<=len	Unique owner borrow	New owner receives suffix; original retains prefix	All suffix ownership transfers; allocation may change addresses	Invalid index panics; allocation failure must preserve original under recoverable contract	O(len-index) moves and one allocation	Both results contiguous and preserve order	Split index	Raw allocation and bulk relocation	X	Failure-atomic ownership split, exact drops, checked index, and direct movement	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec member=split_off
SEQ-CONVERT-01	dense_sequence_owner_conversion	Vec::{into_boxed_slice,into_flattened}	Owned valid Vec<T> or Vec<[T;N]>	Consumes owner	Box<[T]> with len elements or flattened Vec<T>	Source owner dead; allocation may be reused	Capacity shrink allocation may fail/OOM; flatten length multiplication checked	O(n) worst-case relocation or O(1) metadata reshape	Contiguous order retained; flatten preserves nested row-major order	Const N	Safe raw ownership and metadata conversion	X	Ownership transfer, checked length arithmetic, exact capacity/drop semantics, and no hidden copies	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::vec::Vec members=into_boxed_slice,into_flattened
DEQUE-META-01	deque	VecDeque::{new,with_capacity,len,is_empty,capacity}	No owner or valid deque	Optional capacity request	Empty owner or metadata values	None	Capacity overflow/OOM for allocating constructor	O(1) except allocator	Logical order independent of physical wrap; no contiguity promise	Requested capacity	Safe surface over ring metadata and raw allocation	X	Initialized occupancy topology, checked capacity, exact drop, and no spare payload initialization	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=new,with_capacity,len,is_empty,capacity; https://doc.rust-lang.org/1.97.0/std/collections/struct.VecDeque.html
DEQUE-RESERVE-01	deque_growth	VecDeque::{reserve,reserve_exact,try_reserve,try_reserve_exact,shrink_to,shrink_to_fit}; TryReserveError	Valid deque	Unique owner borrow plus capacity request	Capacity changed while logical values/order remain	Reallocation invalidates all element addresses	Trapping/OOM and recoverable reserve forms remain distinct; try failure preserves owner	O(n) relocation on resize; amortized O(1) end growth	Logical order retained; wrap/layout may change	Growth policy and recoverable flag	Raw allocator relocation across one or two segments	X	Failure-atomic affine relocation, wrapped occupancy proof, exact drops, and error taxonomy	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=reserve,reserve_exact,try_reserve,try_reserve_exact,shrink_to,shrink_to_fit
DEQUE-VIEW-01	deque_view	VecDeque::{as_slices,as_mut_slices}	Valid deque	Shared or unique borrow	One or two views whose concatenation is logical order	Mutable outputs disjoint and jointly exclude deque access	Total	O(1)	Exposes physical segmentation but not capacity slots	None	Safe derivation from ring head/len metadata	X	Metadata-to-occupancy fact, two-range disjointness, and exact logical coverage	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=as_slices,as_mut_slices
DEQUE-CONTIG-01	deque_relayout	VecDeque::make_contiguous	Valid deque	Unique owner borrow	Unique contiguous view of all logical elements; deque may be rotated internally	All prior element addresses/position assumptions invalid	No allocation promised; operation must preserve every value	O(n)	Logical order retained; physical layout becomes one slice	None	Raw overlapping rotation/relocation	X	Affine relocation across wrap, returned-borrow provenance, exact occupancy, and movement bound; result-borrow provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque member=make_contiguous
DEQUE-ACCESS-01	deque_access	VecDeque::{front,back,front_mut,back_mut,get,get_mut}	Possibly empty deque and optional logical index	Shared or unique borrow	Option of endpoint/indexed element borrow	Returned borrow tied to deque; mutable form excludes overlap	Empty/out-of-range returns None	O(1)	Logical index order; physical segment hidden	Endpoint or index	Safe ring-index arithmetic	X; fixed Copy ring can be handwritten but general affine deque absent	Checked modular arithmetic, occupancy proof, and unique provenance	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=front,back,front_mut,back_mut,get,get_mut
DEQUE-RANGE-01	deque_view	VecDeque::{range,range_mut}	Valid deque and in-bounds range	Shared or unique borrow. The range or range_mut member consumes its user-defined RangeBounds descriptor R by value; temporary endpoint borrows are bounded by R's live call interval.	Iterator over selected logical range	Iterator retains deque borrow; mutable yields disjoint elements. R is destroyed exactly once before normal return. No returned view, cursor, or owner derives provenance from R; it derives only from the declared container/source owner or independent payload roots. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state. Each invoked runtime behavior is effectful by default, including through a shared receiver. Normal return preserves each nonconsumed outer owner, but its internal leaves may survive, end, move, or be installed only under declared behavior and result relations; later calls consume the preceding post-state.	Invalid range panics before cursor creation. Normal or repeated terminal None retains the deque borrow until cursor destruction, consuming close, or proven last use; incompatible yielded children must also end before base reuse. Proven last use may release only pure cursor/source-borrow authority after every incompatible yielded child ends and only when no repair, owned retained-state destruction, or allocation disposition remains. Destruction or consuming close performs every pending repair, owned-state destruction, and allocation disposition. Terminal None may retire or replace retained substate only under the exact concrete helper transition. A trap in any invoked user-defined behavior follows xlang EFF-4: immediate abort, no unwind cleanup or recoverable post-state promise, and no invalid read before abort.	O(1) creation, O(range) traversal	Logical order retained across physical wrap	Range bounds	Safe segmented iterator	X	Range checking, wrapped cursor, unique yield, and abandonment; non-lending pairwise-live unique-Item disjointness. Exact by-value RangeBounds descriptor ownership, call-scoped endpoint provenance, descriptor destruction, and rejection of result provenance attributed to R. Separate pure last-use authority release from destruction/close duties for owned retained state, repair, and allocation disposition; preserve exact concrete subcursor/epoch retirement. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact. Do not infer purity, idempotence, leaf-map preservation, call elision, duplication, common-subexpression elimination, fusion, or reordering without a declared relation or verified-body proof.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=range,range_mut; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature
DEQUE-ITER-01	deque_iteration	VecDeque::{iter,iter_mut}; helpers=vec_deque::{Iter,IterMut,IntoIter}	Valid deque	Shared, unique, or owning traversal	Logical-order elements by borrow or move	Borrowed iterator retains source; owning iterator consumes deque	Borrowed normal or repeated terminal None retains the deque borrow. Owning terminal None has no remaining live payload, but the VecDeque allocation remains cursor-owned until destruction; unused or partial destruction drops every unyielded value exactly once and releases the allocation. Proven last use may end only a borrowed entrance's pure source authority after all incompatible children end; any consuming-cursor payload, topology state, repair, or allocation disposition requires destruction or consuming close.	O(1) next; O(n) full traversal	Logical order, double-ended and exact-size behavior	Iterator mode	Safe facade over two physical ranges	X	Wrapped cursor correctness, affine owning cleanup, and unique disjoint yields; member-scoped bounded unique cursor reborrow; non-lending pairwise-live unique-Item disjointness Preserve this family's exact central-allocation retention after terminal None and reject applying it to LinkedList or BTree owning cursors. Last-use release cannot discharge pending owned-state destruction, repair, or allocation disposition.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=iter,iter_mut; helper module=alloc::collections::vec_deque; pinned Rust 1.97.0 library/core/src/iter/traits/iterator.rs:42-78 non-lending Item signature
DEQUE-PUSH-01	deque_insert	VecDeque::{push_front,push_back,push_front_mut,push_back_mut}	Valid deque, possibly full	Moves owned T	Value inserted at selected end; *_mut returns unique borrow	Growth invalidates addresses; input consumed on success	Growth failure must not lose offered affine value under xlang obligation	Amortized O(1), O(n) worst-case growth	Logical order changes at chosen end	End direction	Raw spare-slot write plus ring metadata commit	X	Sparse/wrapped initialization, failure ownership, commit ordering, and returned borrow; result-borrow provenance; member-scoped bounded unique result reborrow	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=push_front,push_back,push_front_mut,push_back_mut
DEQUE-POP-01	deque_remove	VecDeque::{pop_front,pop_back,pop_front_if,pop_back_if}	Possibly empty deque	Unique owner; conditional form borrows endpoint for predicate	Option<T> moved from selected end when present/accepted	Removed slot becomes spare; returned T owns payload	Empty/rejected predicate preserves deque topology, membership, and outer-owner validity, while the invoked predicate and examined endpoint may retain declared behavior-authorized internal effects; callback trap must leave valid state. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(1)	Remaining logical order retained	End direction and optional FnOnce(&mut T)->bool	Raw move-out and head/len commit	X	Affine move-out, wrapped occupancy invalidation, predicate scope, and exact drop. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=pop_front,pop_back,pop_front_if,pop_back_if
DEQUE-INSERT-01	deque_insert	VecDeque::{insert,insert_mut}	Valid deque and index<=len	Moves owned T	Value inserted; nearer end shifted; insert_mut returns unique borrow	Addresses and logical positions in shifted segment invalidate	Invalid index panics before mutation; growth failure must preserve owner/input under xlang contract	O(min(index,len-index)) plus growth	Logical order stable except inserted value	Index	Raw wrapped shift and temporary hole	X	Affine wrapped relocation, failure ownership, commit point, and returned borrow; result-borrow provenance; member-scoped bounded unique result reborrow	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=insert,insert_mut
DEQUE-REMOVE-01	deque_remove	VecDeque::{remove,swap_remove_front,swap_remove_back}	Valid deque and index	Unique owner borrow	Option<T> removed; ordered remove shifts nearer side; swap forms replace hole from chosen end	Shifted positions invalidate	Out-of-range returns None	O(min(index,len-index)) ordered; O(1) swap forms	Ordered remove preserves order; swap forms explicitly do not	Removal strategy	Raw move-out through wrapped hole	X	Affine hole state, occupancy updates, exact ownership, and distinct order contracts	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=remove,swap_remove_front,swap_remove_back
DEQUE-SWAP-01	deque_relocation	VecDeque::swap	Valid deque and two indices	Unique owner borrow	Equal in-bounds indices are a checked no-op; unequal indices exchange values	Position-based assumptions invalidate	The first then second index are bounds-checked before mutation; equal in-bounds indices succeed unchanged	O(1)	Logical positions fixed; identities exchange	Two indices	Ring-index computation and typed swap	X for dynamic affine places	Member-scoped equal-index checked no-op, unequal-index dynamic disjointness, no deinitialization, and exact bounds-check order	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque member=swap; pinned Rust 1.97.0 library/alloc/src/collections/vec_deque/mod.rs:1031-1037 equal-index contract; pinned Rust 1.97.0 library/core/src/ptr/mod.rs:1240-1330 overlap-permitting ptr::swap
DEQUE-BULK-01	deque_bulk_move	VecDeque::{append,split_off}	One or two valid deques and optional split index	Unique owners; moves payloads	Append empties source into destination; split creates new suffix owner	Reallocation/relayout invalidates addresses	Invalid split panics; allocation failure must preserve all affine values	O(m) with possible allocation	Logical order preserved	Append versus split	Raw segmented relocation and multiple metadata commits	X	Two-owner transaction, failure atomicity, wrapped movement, and exact drops	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=append,split_off
DEQUE-RESIZE-01	deque_resize	VecDeque::{resize,resize_with,truncate,clear}	Valid deque and target length	Unique owner plus Clone seed/producer when growing	Values appended or selected suffix dropped	Growth may invalidate addresses; truncation invalidates removed endpoints. Clone source-effect contract: each normal Clone call maps one valid pre-source owner to a valid post-source owner plus one valid result under the joint declared source-effect and result-provenance relations. The same source shell remains valid, but its internal leaf map need not: surviving source leaves keep roots, every ended leaf ends once, every new source or result leaf is relation-authorized, and a unique leaf moved to the result ends in the source before result liveness and is never live in both. Repeated calls use the preceding post-source state rather than a frozen original map.	Producer/clone/allocation trap requires valid wrapped occupancy and exact drops. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it. Temporary source views, receiver or field addresses, destination/container storage, and call frames mint no root unless the declared result relation names actual storage. A broken Clone law cannot weaken ownership, provenance, initialization, destruction, or fact-channel safety.	O(abs(delta)) plus possible growth	Existing prefix logical order retained	Clone/producer and target len	Raw partial initialization/drop across wrap	X	Partial construction, callback cleanup, exact drop, and no placeholder T. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch. Use the compiled clone source-effect, helper, and repeat_n canaries to exercise source root replacement, unique transfer, repeated-call post-source chaining, exact old-leaf disposition, and rejection of temporary roots or duplicate unique authority.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=resize,resize_with,truncate,clear. pinned Rust 1.97.0 library/core/src/clone.rs:194-250,506-562. compiled temporary xlang_clone_source_effects, xlang_clone_helper_source_effects, and xlang_repeat_n_source_effects canaries
DEQUE-RETAIN-01	deque_compaction	VecDeque::{retain,retain_mut}	Valid deque	Unique owner plus predicate	Stable subsequence retained; rejected values dropped	Positions/layout may change	Callback trap must leave valid occupancy and exact ownership. The owned behavior environment is invoked exactly as selected by the member and is destroyed exactly once, including a one-shot environment on a branch that does not invoke it.	O(n)	Stable logical order	FnMut(&T)->bool or FnMut(&mut T)->bool	Raw wrapped gap compaction	X	Affine holes across wrap, predicate order, exact drops, and movement bound. Exact owned behavior-state disposition, capture provenance, zero-or-more invocation count, and direct monomorphized calls; a borrow-bearing environment is a separate stored-borrow branch.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=retain,retain_mut
DEQUE-DRAIN-01	deque_lazy_remove	VecDeque::drain; helper=vec_deque::Drain	Valid deque and range	Unique borrow retained by cursor. The drain member consumes its user-defined RangeBounds descriptor R by value; temporary endpoint borrows are bounded by R's live call interval.	Removed T values yielded; remainder repaired when cursor drops	Deque unavailable while cursor authority lives; construction shortens its logical len. First or repeated terminal None does not drop the remainder, repair head/tail, restore len, or release the source borrow. R is destroyed exactly once before cursor return and supplies no result provenance. Each RangeBounds call is a runtime shared-receiver effect: the same nonconsumed outer descriptor owner remains valid on normal return, but its internal leaves may end, be replaced, or move only under the declared RangeBounds behavior-effect relation. Surviving leaves keep roots, ended leaves end once, new leaves are relation-authorized, and a unique transfer ends in the descriptor before destination liveness. Each later call consumes the preceding post-descriptor state. Each invoked runtime behavior is effectful by default, including through a shared receiver. Normal return preserves each nonconsumed outer owner, but its internal leaves may survive, end, move, or be installed only under declared behavior and result relations; later calls consume the preceding post-state.	Invalid range panics before cursor creation. Cursor destruction from unused, partial, or terminal state destroys every unyielded removed T, relocates the shorter retained side as required, fixes head and len, and only then releases source authority; forgetting the Rust cursor has its documented leak caveat. A trap in any invoked user-defined behavior follows xlang EFF-4: immediate abort, no unwind cleanup or recoverable post-state promise, and no invalid read before abort.	O(removed plus repair)	Yield and retained logical order stable	Range and iteration direction	Raw segmented cursor; construction shortens len and Drain::drop destroys the remainder, moves head or tail, and restores head/len.	X	Non-escapable cleanup or eager alternative, wrapped transient state, and exact drops; returned-cursor-only source provenance with owned Item yields. Exact by-value RangeBounds descriptor ownership, call-scoped endpoint provenance, descriptor destruction, and rejection of result provenance attributed to R. A temporary descriptor receiver, field address, or call frame mints no physical root. An endpoint result region is receiver-bounded while its physical root independently remains the actual receiver field or a declared pre-existing external/static root. Broken RangeBounds laws mint no bounds, occupancy, liveness, provenance, disjointness, or check-elision fact. Do not infer purity, idempotence, leaf-map preservation, call elision, duplication, common-subexpression elimination, fusion, or reordering without a declared relation or verified-body proof.	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque member=drain; pinned Rust 1.97.0 library/alloc/src/collections/vec_deque/mod.rs:1880-1917 and library/alloc/src/collections/vec_deque/drain.rs:18-53,94-230
DEQUE-ROTATE-01	deque_relayout	VecDeque::{rotate_left,rotate_right}	Valid deque and count<=len	Unique owner borrow	Logical sequence rotated	Every logical index changes; addresses may change	Out-of-range count panics before mutation	O(min(k,len-k)) target	Cyclic order permutation specified	Direction/count	Raw ring head adjustment or movement	X	Affine relocation versus metadata-only proof and failure ordering	RUST-1.97.0-API-INVENTORY.tsv item_path=alloc::collections::vec_deque::VecDeque members=rotate_left,rotate_right
