cluster_ordinal	cluster_id	family	semantic_class	importability	refinement_policy	evidence_universe_policy	allowed_evidence_dispositions	prohibited_direct_uses	census_row_sha256	derivation_row_sha256	policy_version
33	VIEW-ALLOC-01	owned_sequence_conversion	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	8f29291e06a456a6155cdb8dae788879780919bec54aa98c6429fdbfa11fba8e	7a39ea8410f6efc197f0846a65a70c8cffdf22fd1ac8fbfe4b8c3f300c79937f	xlang-g0-coverage-cluster-policy-v1
34	VIEW-CONCAT-01	bulk_sequence_construction	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	6e4cd938783269654065bb69ee34caab8da688427330e34d6d2c5060dec92edd	b5e2c5f33d51e27e345dd860f9b2638572c99c84a0b7e5c0df354c6fc9e1e635	xlang-g0-coverage-cluster-policy-v1
35	BYTE-ASCII-01	byte_text_predicate	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	8fdc11c837b3d1f9313055e5d45858753c398f19d2e1361298a61612fae5e4b1	cd6f7549ba25e143ab0c893a9cee431339dd41bf4c1b26a56897768c938b3677	xlang-g0-coverage-cluster-policy-v1
36	BYTE-ASCII-02	byte_text_mutation	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	d46fcde9de264c1fe78aea9559c2468c589431400c962a6e6088c4b9c429a3cb	8ad6252b6a1d9702ea9ef783ffe8bfebe8e0111adf2a4ce1ec628cf24e0aa9ff	xlang-g0-coverage-cluster-policy-v1
37	BYTE-ASCII-03	byte_text_construction	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	bccf61fd6f56fe094b2e52e30cc1703f85d06699df36dcd07b7e66d76ae18b2d	2d8b639ce6920275ff97c957142df9835d74e40bbafaba460cd2094b15cac86a	xlang-g0-coverage-cluster-policy-v1
38	BYTE-ASCII-04	byte_text_view	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	1f5ddb19bfa4104d6db557aed816078e5bf45b872f9a28d1125734074d479c1c	c46d5b1333140fd7b107927cf5d0cf4620702ba0a22fd33f3f27bf559adf8f42	xlang-g0-coverage-cluster-policy-v1
39	BYTE-ASCII-05	byte_text_escape	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	6645134fc5a57fb059fecf2ff9f380386d35630ae5624d0e1504c0e85124b984	98a8e524aba762e7cc353f64b18782d5ae16867a15017e0049e16de66a46da41	xlang-g0-coverage-cluster-policy-v1
40	BYTE-UTF8-CHUNKS-01	text_validation_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	9a54af8dde2585d9b9316ef0eb25021c95cce6f99b1dbff679d61a88a8501442	32717ebcce7ed0e6c43d36fd23f6f655dc2758be713edeb10c1b3173b19f6654	xlang-g0-coverage-cluster-policy-v1
41	INIT-WRITE-01	partial_initialization	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	f1c894c6382ba92cd01fb2f4b29d43e5a0260b5d23fe38f795ffc3cddd5b54a3	5cb804a276bf3287f36cbefaf68181d5369d188231848e6723f1851e59776d68	xlang-g0-coverage-cluster-policy-v1
42	TEXT-META-01	validated_text_metadata	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	88e1a3858198380a13acf617354d2f8852d2be422ea3638899d02c6bacac6597	baf0e491fef9943df0975fc8d16647efb3f7960544c2f53fa66b3f81962438c6	xlang-g0-coverage-cluster-policy-v1
43	TEXT-BYTES-01	validated_text_view	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	ad0f96bf2a4359fe3f332f040d2742e4caae47c8a9b83177a44d551d195e4028	79a06089ced558b3b914a5c88f5005c0b0b937b7cf3d23b63346c6f0e98e4b56	xlang-g0-coverage-cluster-policy-v1
44	TEXT-VALIDATE-01	text_validity_seal	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	401f631a252052d0c232c4ee1ea94b911b3e6bac0ecf0871e9884e6a5574c4da	2ed2402f877c68e288ce0d9766556f3571e63beaeb5346419f6abeee1f5f80d6	xlang-g0-coverage-cluster-policy-v1
45	TEXT-BOUNDARY-01	text_boundary_query	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	468fed25bd744b1fa7c01be6787b4610e3b71881fc9bb019ef6a7e1303be9e32	8ff45140581dcb443c02147b556f1f9a3bfc228af7598320c85e38961d87f0d7	xlang-g0-coverage-cluster-policy-v1
46	TEXT-GET-01	text_boundary_access	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	cce80de6a1cf17ea5593eb084f05cd761bb2aa32aae877fdfbe580795d8d788c	321ea5038e1134a7f89ac1c7aa9f52a328a24bb376322925857202d57da2eb94	xlang-g0-coverage-cluster-policy-v1
47	TEXT-SPLIT-AT-01	text_boundary_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	7a887c7345a2dbd2b9a0f4a9c9284aa234ff38c543a0fc124224d4e2bf0d41ed	e20a4423d5e6eecb977b4095bf4a7506c219d57dec72be36d377302d132ebfca	xlang-g0-coverage-cluster-policy-v1
48	TEXT-SPLIT-AT-02	text_boundary_partition	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	3767d33b1d91cdce50212f2e8fb4dfb2b8226119eb7e5c14a105fa7785487d09	30d118e1ab7fdda698fe9e06f8b4ac68f7f0574b45e74de60b6eef3c061351df	xlang-g0-coverage-cluster-policy-v1
49	TEXT-ITER-01	text_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	1352291ec55db8ea388648013b71735ada98484482d46f7dd203f71fe54d7930	4f16ed93e4f2881e42a4893a0a5e5aad2a5a2954998798132ac7eb109bd45dba	xlang-g0-coverage-cluster-policy-v1
50	TEXT-UTF16-01	text_encoding	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	2a7c3be0ce8e18394f450b2572a4d1283068495c796153ce5615f7cd097e1943	79e1ab45736953d2cc7d2ca6998164bd4be02d50dfe34c7956d18618a37e3f2d	xlang-g0-coverage-cluster-policy-v1
51	TEXT-SEARCH-01	text_pattern_search	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	b274bfacf09ac720fbae3ce1abb175e2bee5d7a4fbebafa66bdb5641e380d83b	417280598dd95e127aa2e9e94b8af4b819a1e94a052171e2f4a75f1c8dbe067f	xlang-g0-coverage-cluster-policy-v1
52	TEXT-MATCH-ITER-01	text_pattern_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	fdc77ee93cb84fdf9d4fa7375a6dcd97a9a054769521e98e52515b7d88f18efa	c4f71d290908dafa6baec07057f8d68c78351150a337d64b14aa25a9cf2277b3	xlang-g0-coverage-cluster-policy-v1
53	TEXT-SPLIT-PATTERN-01	text_pattern_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	d87dc57853eaf3cfe95edec5f08649f95a436356b110d3637348fb8022fd60e6	97879b3d7b57f6c61949d2cb76622074ee0b5153365fa2644b97c922c1f6eed6	xlang-g0-coverage-cluster-policy-v1
54	TEXT-LINES-01	text_line_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	7dda3f9de438e54ab5c28715bbe4f09cd50f38638e8688cfaf237b50f8c3b73a	6a3b4ff7b17bed304cccd26335ce572f2f214f2c7eda538fd8863df6c3705eaa	xlang-g0-coverage-cluster-policy-v1
55	TEXT-TRIM-01	text_boundary_view	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	f252974a2783d8240fceeb3971357739c623c9dd283a7aa7d91a4feca71fc3bb	53aa0b14b0f6233cac351c3e1ddb4bfb59e7eb9554f794f0b9b720047907cb34	xlang-g0-coverage-cluster-policy-v1
56	TEXT-ESCAPE-01	text_escape_iteration	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	f2a6262c215343f25302c943a71988c295d593f3c2398eac60993caf338162b2	940fc8faca6a4b4bd1601ffc64b0ae93303ef37df47dbacffd37072bbbcb43a5	xlang-g0-coverage-cluster-policy-v1
57	TEXT-PARSE-01	behavior_conversion	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	a76228a621a471545aa26fb72d9b31f8588e5df118f5700559b845f17971b96d	3b7178571dc3eff4ea826792e8aa93e2459f66bab3376a416e40044918cd0d34	xlang-g0-coverage-cluster-policy-v1
58	TEXT-ASCII-01	validated_text_ascii	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	95d5589add9463ae4f89a6c16773c68bcf360494376f440bd0859284f7478a71	1c022d511ea6f3d3c8b10b40924feb227c5528f698ae0328aa0cba3ed6831e4e	xlang-g0-coverage-cluster-policy-v1
59	TEXT-UNICASE-01	unicode_text_construction	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	b41b2c926eac6c81cb90a05a66e4fc53dd45fe922510d22990ffc32a18401b23	6256e5c90e1ef8d6a7b76322625015959acb55cd8d9eeedf1a6db778e32b3c45	xlang-g0-coverage-cluster-policy-v1
60	TEXT-REPLACE-01	text_pattern_construction	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	5b06622c998d2ff71a5ae728a8e643f5ecad75beaca82efbc6c6fe2ddf671e13	96c65ad9698d61ec55973713299a5d52ff4a182adccb5b8c61e5f2922788ea9a	xlang-g0-coverage-cluster-policy-v1
61	TEXT-REPEAT-01	text_construction	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	70b45b42bc64e8fb2c12f71efccae93899f118616b7b7ea320c47d499642a603	3964eb0ccc2cd8aab54792d47a23b75f6c7e73755f79c37b66ac10338fb7adf1	xlang-g0-coverage-cluster-policy-v1
62	TEXT-BOX-CONVERT-01	text_owner_conversion	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	bd61aed80d34bebe7451f238fbfaf40ef4f878c00cb07ecf36438c510ca97022	270ad058a34329d4a488f8c941e7a1ba3ba56e8231df8cb829344b4ea6c37a23	xlang-g0-coverage-cluster-policy-v1
63	BOX-NEW-01	unique_heap_owner	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	40b0f0e250059fb9a14b7e2c91e3ea1e854a3b6e0da53a1fdcc04aa232ff46be	bf6408734a4b858981109f36e810a97045bfc2c63bf121e0369cc5222c2d9bd0	xlang-g0-coverage-cluster-policy-v1
64	BOX-PIN-01	address_sensitive_owner	G0_COVERAGE_CLUSTER	NON_IMPORTABLE	FAMILY_LOCK_COMPLETE_EVIDENCE_TO_MEMBER_OUTCOME	ALL_SAFE_D10_UNSAFE_IMPL_AND_HELPER_KEYS	REFINED_IN_LOCK;PREDECESSOR_PROVED;EXCLUDED_BLOCKS_CLAIM	FAMILY_CLOSURE_UNIT;MEMBER_CONTRACT;OUTCOME_CONTRACT;CAPABILITY_INHERITANCE;COST_INHERITANCE;FAMILY_LOCK_IMPORT;CANDIDATE_CONSTRUCTION;SCORED_EXPERIMENT;FAMILY_E;FAMILY_P	75f07646534ebfe0075a6c5f6fdee7c6bd0bb35ae3c5cef0e3ea9fcc13241b9c	b7986cf6af5191af4d7e7634e3cc4974f467dac5cfe5025f02f18015e23490c3	xlang-g0-coverage-cluster-policy-v1
